Home Team: Everton
Away Team: Burnley

Strength Expected Winner: Draw (96.00%)
Expected Goals: 2.28 (Average Std: 1)

Everton Expected Result According to Form: L (0.39, Count: 81, LLW)
Burnley Expected Result According to Form: L (0.44, Count: 42, WDD)
Letters Expected Results: Away (44%)

-----------------------

Everton Top Scorer: Wayne Rooney (2)
Burnley Top Scorer: Sam Vokes (2)

-----------------------

Everton Scoring positions: 
Forward => 4

Burnley Scoring positions: 
Midfielder => 3
Forward => 2
Defender => 1

Everton Conceded positions: 
Forward => 7
Midfielder => 3
Defender => 1

Burnley Conceded positions: 
Forward => 2
Defender => 1
Midfielder => 1
