Match,Winner Odds,Winner,Winner Ratio,Goals Odds,IsOver,Over Ratio
Bournemouth VS. Manchester United,0.4496,A,2.224199288256228,0.5389007534836875,1,1.8556292481232726
Arsenal VS. Liverpool,0.498,A,2.0080321285140563,0.5461388242819301,1,1.8310362778453118
Cardiff City VS. Leicester City,0.4556,A,2.194907813871817,0.5015125081112859,0,1.9939682138059445
Chelsea VS. Crystal Palace,0.6932,H,1.4425851125216387,0.539362705795017,1,1.8540399424279932
Everton VS. Brighton & Hove Albion,0.662,H,1.510574018126888,0.5180810206406181,0,1.9302000269445865
Huddersfield Town VS. Fulham,0.5268,H,1.8982536066818525,0.5265368210516033,0,1.899202410959204
Manchester City VS. Southampton,0.9256,H,1.08038029386344,0.7513626911397902,1,1.3309151649292514
Newcastle United VS. Watford,0.3688,D,2.7114967462039044,0.5066464408473295,1,1.973763001922154
West Ham United VS. Burnley,0.592,H,1.6891891891891893,0.5615141235911882,0,1.780899104735703
Wolverhampton wanderers VS. Tottenham Hotspur,0.4464,A,2.240143369175627,0.5355305646192025,1,1.8673070522334538
