Match,Winner Odds,Winner,Winner Ratio,Real Ratio,Diff,Winner,Model Correct,Goals Odds,IsOver,Over Correct,Over Ratio
Arsenal VS. Fulham,0.7736,H,1.292657704,1.25,-0.042657704,H,1,0.503860627,1,1,1.984675816
West Ham United VS. Brighton & Hove Albion,0.6852,H,1.459427904,1.8,0.340572096,D,0,0.519776399,0,0,1.923904204
Cardiff City VS. Tottenham Hotspur,0.6752,A,1.481042654,1.35,-0.131042654,A,1,0.53466206,1,1,1.870340304
Chelsea VS. Southampton,0.6332,H,1.579279848,1.2,-0.379279848,D,0,0.512760776,1,0,1.950227174
Huddersfield Town VS. Burnley,0.5628,H,1.776830135,2,0.223169865,A,0,0.519972995,0,0,1.9231768
Bournemouth VS. Watford,0.5544,H,1.803751804,2.25,0.446248196,D,0,0.503138055,0,0,1.987526068
Newcastle United VS. Manchester United,0.5348,A,1.869857891,1.5,-0.369857891,A,1,0.536340449,1,0,1.864487382
Wolverhampton wanderers VS. Crystal Palace,0.518,H,1.930501931,1.8,-0.130501931,A,0,0.505609092,0,0,1.977812536
Everton VS. Leicester City,0.5124,H,1.951600312,1.85,-0.101600312,A,0,0.513921227,1,0,1.945823498
Manchester City VS. Liverpool,0.3764,H,2.65674814,1.85,-0.80674814,H,1,0.603460834,1,1,1.657108372
