Match,Winner Odds,Winner,Winner Ratio,Goals Odds,IsOver,Over Ratio
Bournemouth VS. Southampton,0.7144,H,1.3997760358342666,0.5640420448523566,1,1.7729174786283166
Arsenal VS. Leicester City,0.6228,H,1.6056518946692357,0.5211119956142305,1,1.918973288690674
Cardiff City VS. Fulham,0.5348,H,1.869857890800299,0.5083183487965816,1,1.967271105533472
Chelsea VS. Manchester United,0.536,H,1.8656716417910448,0.6153342938460361,1,1.625132891179655
Everton VS. Crystal Palace,0.53,H,1.8867924528301887,0.5241182014159347,0,1.907966556586747
Huddersfield Town VS. Liverpool,0.4164,A,2.4015369836695486,0.5407087198616538,1,1.849424585303268
Manchester City VS. Burnley,0.9352,H,1.06928999144568,0.6575450436004884,1,1.520808360936533
Newcastle United VS. Brighton & Hove Albion,0.3628,D,2.7563395810363835,0.5176604049238392,0,1.9317683765037525
West Ham United VS. Tottenham Hotspur,0.8788,A,1.137915339098771,0.5260188481868386,1,1.9010725631732615
Wolverhampton wanderers VS. Watford,0.3688,H,2.7114967462039044,0.5064653427218316,0,1.9744687654753008
