Match,Winner Odds,Winner,Winner Ratio,Goals Odds,IsOver,Over Ratio
Bournemouth VS. Leicester City,0.4310088258275752,H,2.320138104086178,0.5169507721898845,1,1.934420168798362
Chelsea VS. Cardiff City,0.7814191337913692,H,1.279722951174868,0.637076663113035,1,1.569669802553374
Everton VS. West Ham United,0.5622588096585366,H,1.7785403853561785,0.5086278721456288,1,1.9660739309891437
Huddersfield Town VS. Crystal Palace,0.36646849820994154,H,2.728747504586663,0.533848505939168,0,1.8731905941007727
Manchester City VS. Fulham,0.7066058726453598,H,1.415216089637416,0.6953746818290741,1,1.4380736401987726
Newcastle United VS. Arsenal,0.4085516417174317,A,2.447670986698994,0.5404311204467251,1,1.850374566093439
Southampton VS. Brighton & Hove Albion,0.5177304011141185,H,1.9315072050010431,0.5357989036995474,0,1.8663718665627511
Tottenham Hotspur VS. Liverpool,0.4006193302359761,H,2.4961351700402767,0.5563031865579164,1,1.7975809309801438
Watford VS. Manchester United,0.38306967239976797,H,2.6104911770629786,0.5690763398148144,1,1.7572334852744262
Wolverhampton wanderers VS. Burnley,0.6179803299840964,H,1.6181744814203631,0.5392510988664592,0,1.8544236666407634
