Match,Winner Odds,Winner,Winner Ratio,Goals Odds,IsOver,Over Ratio
Bournemouth VS. Liverpool,0.6782,A,1.474491300501327,0.5423428877142922,1,1.8438519664460002
Arsenal VS. Huddersfield Town,0.637,H,1.5698587127158554,0.5121442905610772,0,1.9525747302668448
Burnley VS. Brighton & Hove Albion,0.3948,H,2.5329280648429586,0.5245354125697371,0,1.9064489756772136
Cardiff City VS. Southampton,0.4962,H,2.0153164046755343,0.5092692588089215,1,1.9635978074521898
Chelsea VS. Manchester City,0.4298,D,2.3266635644485807,0.5414022089853338,1,1.8470556333232273
Everton VS. Watford,0.6524,H,1.5328019619865114,0.5269713083868058,0,1.897636520404225
Leicester City VS. Tottenham Hotspur,0.4162,A,2.4026910139356077,0.5192346857321014,1,1.925911398985292
Manchester United VS. Fulham,0.5968,H,1.675603217158177,0.5132962775332953,0,1.948192581496238
Newcastle United VS. Wolverhampton wanderers,0.365,H,2.73972602739726,0.5135201761661209,1,1.9473431549776257
West Ham United VS. Crystal Palace,0.382,D,2.6178010471204187,0.5027859410871635,1,1.988917983342416
