Match,Winner Odds,Winner,Winner Ratio,Real Ratio,Diff,Winner,Model Correct,Goals Odds,IsOver,Over Correct,Over Ratio
Manchester United VS. Watford,0.8648,H,1.156336725,1.35,0.193663275,,,0.501703538,1,,1.993208987
Liverpool VS. Tottenham Hotspur,0.8356,H,1.196744854,1.5,0.303255146,,,0.606080133,1,,1.64994684
Fulham VS. Manchester City,0.7072,A,1.414027149,1.1,-0.314027149,,,0.571395053,1,,1.750102656
Crystal Palace VS. Huddersfield Town,0.668,H,1.497005988,1.4,-0.097005988,,,0.537680411,0,,1.859840862
Arsenal VS. Newcastle United,0.6648,H,1.504211793,1.3,-0.204211793,,,0.502927256,1,,1.988359129
Cardiff City VS. Chelsea,0.5212,A,1.918649271,1.35,-0.568649271,,,0.538831192,1,,1.855868804
Brighton & Hove Albion VS. Southampton,0.5184,D,1.929012346,2.7,0.770987654,,,0.50878393,1,,1.965470883
Leicester City VS. Bournemouth,0.5128,H,1.950078003,1.65,-0.300078003,,,0.501236046,0,,1.99506801
West Ham United VS. Everton,0.4204,H,2.378686965,2.25,-0.128686965,,,0.511355044,1,,1.955588415
Burnley VS. Wolverhampton wanderers,0.394,A,2.538071066,2.2,-0.338071066,,,0.512354331,1,,1.951774269
