Match,Winner Odds,Winner,Winner Ratio,Goals Odds,IsOver,Over Ratio
Bournemouth VS. Arsenal,0.3832,A,2.6096033402922756,0.5243343547964688,1,1.9071800099540885
Brighton & Hove Albion VS. Leicester City,0.466,H,2.1459227467811157,0.5194012502319153,1,1.9252937869392786
Burnley VS. Newcastle United,0.3672,H,2.723311546840958,0.5158981345550423,0,1.9383671562652411
Everton VS. Cardiff City,0.61,H,1.639344262295082,0.508695388505716,0,1.9658129847362735
Fulham VS. Southampton,0.3796,H,2.6343519494204424,0.5268318014760203,1,1.8981390212176035
Manchester United VS. Crystal Palace,0.6192,H,1.6149870801033592,0.5216160333842407,0,1.9171189840772493
Tottenham Hotspur VS. Chelsea,0.5172,A,1.9334880123743232,0.5306746314505449,1,1.8843938276578287
Watford VS. Liverpool,0.5252,A,1.9040365575019038,0.5307407275238514,1,1.8841591536897087
West Ham United VS. Manchester City,0.636,A,1.572327044025157,0.5323664720745453,1,1.8784052949524845
Wolverhampton wanderers VS. Huddersfield Town,0.6488,H,1.5413070283600492,0.5177968575842057,0,1.9312593063340038
