Match,Winner Odds,Home Odds,Draw Odds,Away Odds,Winner,Winner Ratio,Real Ratio,Diff,Draw Ratio,Winner,Model Correct,Goals Odds,IsOver,Over Correct,Over Ratio
Burnley VS. Arsenal,0.3796,0.2488,0.3716,0.3796,H,2.634351949,3.5,0.865648051,0,D,0,0.508018263,1,0,1.968433169
Crystal Palace VS. Sheffield United,0.4416,0.1796,0.3788,0.4416,H,2.264492754,2.8,0.535507246,0,A,0,0.510141748,0,1,1.96023949
West Ham United VS. Brighton & Hove Albion,0.5684,0.2552,0.1764,0.5684,H,1.759324419,2.25,0.490675581,0,D,0,0.532312475,0,0,1.878595839
Newcastle United VS. Norwich City,0.5992,0.2128,0.188,0.5992,H,1.668891856,2,0.331108144,0,D,0,0.503314833,1,0,1.986827994
Manchester United VS. Wolverhampton Wanderers,0.5904,0.1436,0.266,0.5904,H,1.693766938,1.95,0.256233062,0,D,0,0.535048978,1,0,1.868987778
Watford VS. Everton,0.4504,0.4504,0.2748,0.2748,A,2.220248668,2.3,0.079751332,0,A,1,0.544484921,1,1,1.836598152
Liverpool VS. Southampton,0.8584,0.0492,0.0924,0.8584,H,1.164958062,1.2,0.035041938,0,H,1,0.593156269,1,1,1.68589637
Bournemouth VS. Aston Villa,0.4788,0.2604,0.2608,0.4788,H,2.08855472,1.9,-0.18855472,0,H,1,0.503314833,1,1,1.986827994
Tottenham Hotspur VS. Manchester City,0.562,0.562,0.1228,0.3152,A,1.779359431,1.4,-0.379359431,0,H,0,0.549188533,1,0,1.820868318
Leicester City VS. Chelsea,0.358,0.358,0.3176,0.3244,A,2.793296089,2.35,-0.443296089,0,D,0,0.560899443,1,1,1.782850762
