Match,Winner Odds,Home Odds,Draw Odds,Away Odds,Winner,Winner Ratio,Real Ratio,Diff,Draw Ratio,Winner,Model Correct,Goals Odds,IsOver,Over Correct,Over Ratio
Liverpool VS. West Ham United,0.9544,0.0228,0.0228,0.9544,H,1.047778709,1.1,0.052221291,0,H,1,0.614003003,1,1,1.869841904
Wolverhampton Wanderers VS. Norwich City,0.7192,0.1212,0.1596,0.7192,H,1.390433815,1.35,-0.040433815,0,H,1,0.534733307,0,0,1.95415224
Manchester United VS. Watford,0.6068,0.1528,0.2404,0.6068,H,1.647989453,1.45,-0.197989453,0,H,1,0.528780971,0,0,1.915455372
Chelsea VS. Tottenham Hotspur,0.492,0.144,0.364,0.492,H,2.032520325,1.6,-0.432520325,0,H,1,0.522069068,1,1,1.935668215
Southampton VS. Aston Villa,0.492,0.262,0.246,0.492,H,2.032520325,1.5,-0.532520325,0,H,1,0.510333985,1,0,1.798917347
Burnley VS. Bournemouth,0.4428,0.2508,0.3064,0.4428,H,2.258355917,1.8,-0.458355917,0,H,1,0.511730857,0,0,1.62865653
Sheffield United VS. Brighton & Hove Albion,0.408,0.2496,0.3424,0.408,H,2.450980392,1.7,-0.750980392,0,D,0,0.516529273,1,0,1.891142183
Arsenal VS. Everton,0.3836,0.296,0.3204,0.3836,H,2.606882169,1.75,-0.856882169,0,H,1,0.534804573,1,1,1.935998698
Leicester City VS. Manchester City,0.378,0.3284,0.2936,0.378,H,2.645502646,3.7,1.054497354,0,A,0,0.555889909,1,0,1.95950109
Crystal Palace VS. Newcastle United,0.3596,0.3596,0.3156,0.3248,A,2.780867631,3.55,0.769132369,0,H,0,0.516617462,0,1,1.870091102
