Match,Winner Odds,Home Odds,Draw Odds,Away Odds,Winner,Winner Ratio,Real Ratio,Diff,Winner,Model Correct,Goals Odds,IsOver,Over Correct,Over Ratio
Norwich City VS. Manchester United,0.4448,0.368,0.1872,0.4448,H,2.248201439,3.65,1.401798561,A,0,0.505479295,1,1,1.978320397
Southampton VS. Leicester City,0.4508,0.3108,0.2384,0.4508,H,2.218278616,2.95,0.731721384,A,0,0.512683562,1,1,1.950520893
Newcastle United VS. Wolverhampton Wanderers,0.4752,0.2636,0.2612,0.4752,H,2.104377104,2.65,0.545622896,D,0,0.500917924,1,0,1.996335034
Liverpool VS. Tottenham Hotspur,0.85,0.052,0.098,0.85,H,1.176470588,1.4,0.223529412,H,1,0.636335652,1,1,1.571497679
Burnley VS. Chelsea,0.662,0.662,0.2212,0.1168,A,1.510574018,1.65,0.139425982,A,1,0.549239769,1,1,1.820698458
Brighton & Hove Albion VS. Everton,0.4048,0.354,0.2412,0.4048,H,2.470355731,2.55,0.079644269,H,1,0.510351176,1,1,1.959435085
Arsenal VS. Crystal Palace,0.56,0.2412,0.1988,0.56,H,1.785714286,1.35,-0.435714286,D,0,0.508994037,1,1,1.964659558
West Ham United VS. Sheffield United,0.4312,0.2204,0.3484,0.4312,H,2.319109462,1.85,-0.469109462,D,0,0.507373888,0,1,1.970933119
Watford VS. Bournemouth,0.3848,0.2536,0.3616,0.3848,H,2.598752599,2.05,-0.548752599,D,0,0.500746537,1,0,1.997018306
Manchester City VS. Aston Villa,0.5248,0.2216,0.2536,0.5248,H,1.905487805,1.05,-0.855487805,H,1,0.639859404,1,1,1.562843327
