Match,Winner Odds,Home Odds,Draw Odds,Away Odds,Winner,Winner Ratio,Real Ratio,Diff,Draw Ratio,Winner,Model Correct,Goals Odds,IsOver,Over Correct,Over Ratio
Manchester City VS. Manchester United,0.6828,0.1084,0.2088,0.6828,H,1.464557704,1.2,-0.264557704,4.75,A,0,0.687464436,1,1,1.454620702
Bournemouth VS. Liverpool,0.674,0.674,0.2132,0.1128,A,1.483679525,1.25,-0.233679525,4.5,A,1,0.536802946,1,1,1.862880985
Norwich City VS. Sheffield United,0.4652,0.2276,0.3072,0.4652,H,2.14961307,2.65,0.50038693,3,A,0,0.501746905,1,1,1.993036709
Aston Villa VS. Leicester City,0.4552,0.4552,0.2604,0.2844,A,2.196836555,1.5,-0.696836555,4.2,A,1,0.532571781,1,1,1.877681162
Tottenham Hotspur VS. Burnley,0.454,0.2876,0.2584,0.454,H,2.202643172,1.2,-1.002643172,4.75,H,1,0.511570683,1,1,1.95476409
Newcastle United VS. Southampton,0.44,0.2796,0.2804,0.44,H,2.272727273,2.35,0.077272727,2.85,H,1,0.513552518,1,1,1.947220517
Everton VS. Chelsea,0.4392,0.4392,0.2852,0.2756,A,2.276867031,1.7,-0.576867031,3.6,H,0,0.53859307,1,1,1.856689319
Brighton & Hove Albion VS. Wolverhampton Wanderers,0.4148,0.296,0.2892,0.4148,H,2.410800386,2.5,0.089199614,2.85,D,0,0.514999331,1,1,1.941750097
West Ham United VS. Arsenal,0.3792,0.3792,0.25,0.3708,A,2.637130802,1.8,-0.837130802,3.35,A,1,0.519451745,1,1,1.925106632
Watford VS. Crystal Palace,0.3516,0.3516,0.3276,0.3208,A,2.844141069,2.65,-0.194141069,2.9,D,0,0.516871912,0,1,1.934715307
