Match,Winner Odds,Home Odds,Draw Odds,Away Odds,Winner,Winner Ratio,Real Ratio,Diff,Draw Ratio,Winner,Model Correct,Goals Odds,IsOver,Over Correct,Over Ratio
Liverpool VS. Watford,0.8144,0.058,0.1276,0.8144,H,1.227897839,1.15,-0.077897839,5.2,H,1,0.633235396,1,0,1.57919157
Arsenal VS. Manchester City,0.5292,0.5292,0.2232,0.2476,A,1.889644747,1.35,-0.539644747,4.35,A,1,0.560607159,1,1,1.783780289
Manchester United VS. Everton,0.5428,0.1644,0.2928,0.5428,H,1.842299189,1.55,-0.292299189,3.3,D,0,0.537951238,1,0,1.858904543
Sheffield United VS. Aston Villa,0.4808,0.2544,0.2648,0.4808,H,2.079866889,1.75,-0.329866889,3.2,H,1,0.535505771,0,1,1.867393506
Chelsea VS. Bournemouth,0.6932,0.0892,0.2176,0.6932,H,1.442585113,1.2,-0.242585113,4.75,A,0,0.526977495,0,1,1.897614243
Southampton VS. West Ham United,0.5096,0.2488,0.2416,0.5096,H,1.962323391,1.75,-0.212323391,3.35,A,0,0.518174455,1,0,1.929851986
Wolverhampton Wanderers VS. Tottenham Hotspur,0.5648,0.2316,0.2036,0.5648,H,1.770538244,3.15,1.379461756,3.15,A,0,0.515297835,1,1,1.940625271
Leicester City VS. Norwich City,0.7824,0.0932,0.1244,0.7824,H,1.278118609,1.15,-0.128118609,5,D,0,0.506223502,1,0,1.975412037
Burnley VS. Newcastle United,0.5528,0.2472,0.2,0.5528,H,1.808972504,1.9,0.091027496,3,H,1,0.505090042,1,0,1.979845011
Crystal Palace VS. Brighton & Hove Albion,0.4628,0.2696,0.2676,0.4628,H,2.160760588,2.3,0.139239412,2.7,D,0,0.504604483,0,1,1.981750129
