Match,Winner Odds,Home Odds,Draw Odds,Away Odds,Winner,Winner Ratio,Real Ratio,Diff,Draw Ratio,Winner,Model Correct,Goals Odds,IsOver,Over Correct,Over Ratio
Manchester United VS. Newcastle United,0.732,0.0864,0.1816,0.732,H,1.366120219,1.3,-0.066120219,0,H,1,0.501672794,0,0,1.993331135
Wolverhampton Wanderers VS. Manchester City,0.7216,0.7216,0.0868,0.1916,A,1.385809313,1.3,-0.085809313,0,H,0,0.561105331,1,1,1.782196577
Tottenham Hotspur VS. Brighton & Hove Albion,0.6324,0.214,0.1536,0.6324,H,1.581277672,1.3,-0.281277672,0,H,1,0.520856007,1,1,1.919916418
Chelsea VS. Southampton,0.5952,0.1292,0.2756,0.5952,H,1.680107527,1.25,-0.430107527,0,A,0,0.526545362,1,0,1.899171605
Aston Villa VS. Norwich City,0.5324,0.3452,0.1224,0.5324,H,1.878287002,1.9,0.021712998,0,H,1,0.503221801,0,1,1.987195304
Crystal Palace VS. West Ham United,0.434,0.29,0.276,0.434,H,2.304147465,2.05,-0.254147465,0,H,1,0.523539647,1,1,1.910075016
Sheffield United VS. Watford,0.4196,0.3444,0.236,0.4196,H,2.383222116,1.6,-0.783222116,0,D,0,0.513830029,0,1,1.946168858
Everton VS. Burnley,0.4152,0.3504,0.2344,0.4152,H,2.408477842,1.5,-0.908477842,0,H,1,0.501543044,0,1,1.993846814
Leicester City VS. Liverpool,0.3656,0.3656,0.3324,0.302,A,2.735229759,1.9,-0.835229759,0,A,1,0.543397461,1,1,1.840273595
Bournemouth VS. Arsenal,0.3524,0.314,0.3336,0.3524,H,2.837684449,3.65,0.812315551,0,D,0,0.521139598,1,0,1.91887165
