Match,Winner Odds,Home Odds,Draw Odds,Away Odds,Winner,Winner Ratio,Real Ratio,Diff,Draw Ratio,Winner,Model Correct,Goals Odds,IsOver,Over Correct,Over Ratio
Liverpool VS. Sheffield United,0.9372,0.016,0.0468,0.9372,H,1.067008109,1.15,0.082991891,0,H,1,0.601598082,1,0,1.662239341
Manchester City VS. Everton,0.6976,0.1556,0.1468,0.6976,H,1.433486239,1.15,-0.283486239,0,H,1,0.61854754,1,1,1.616690609
Brighton & Hove Albion VS. Chelsea,0.6324,0.6324,0.1608,0.2068,A,1.581277672,1.7,0.118722328,0,D,0,0.548248661,1,0,1.823989862
Newcastle United VS. Leicester City,0.5648,0.5648,0.1936,0.2416,A,1.770538244,1.45,-0.320538244,0,A,1,0.554678633,1,1,1.80284572
Burnley VS. Aston Villa,0.5404,0.226,0.2336,0.5404,H,1.850481125,1.65,-0.200481125,0,A,0,0.503591075,0,0,1.985738133
Arsenal VS. Manchester United,0.4856,0.4856,0.2724,0.242,A,2.059308072,2.3,0.240691928,0,H,0,0.532403254,1,0,1.878275522
West Ham United VS. Bournemouth,0.4656,0.2044,0.33,0.4656,H,2.147766323,1.75,-0.397766323,0,H,1,0.534989025,0,0,1.869197224
Southampton VS. Tottenham Hotspur,0.4448,0.4448,0.322,0.2332,A,2.248201439,1.8,-0.448201439,0,H,0,0.534450857,1,0,1.871079422
Watford VS. Wolverhampton Wanderers,0.3836,0.3836,0.3404,0.276,A,2.606882169,2.05,-0.556882169,0,H,0,0.52135386,1,1,1.918083046
Norwich City VS. Crystal Palace,0.378,0.2704,0.378,0.3516,D,2.645502646,3,0.354497354,0,D,1,0.502373286,1,0,1.990551703
