Match,Winner Odds,Home Odds,Draw Odds,Away Odds,Winner,Winner Ratio,Real Ratio,Diff,Draw Ratio,Winner,Model Correct,Goals Odds,IsOver,Over Correct,Over Ratio
Manchester United VS. Burnley,0.808,0.0416,0.1504,0.808,H,1.237623762,1.3,0.062376238,0,A,0,0.501574975,0,1,1.993719883
Sheffield United VS. Manchester City,0.7728,0.7728,0.1196,0.1076,A,1.293995859,1.3,0.006004141,0,A,1,0.554059602,1,0,1.804859975
Everton VS. Newcastle United,0.6824,0.1872,0.1304,0.6824,H,1.465416178,1.45,-0.015416178,0,D,0,0.507513484,0,0,1.970390999
Chelsea VS. Arsenal,0.6704,0.1124,0.2172,0.6704,H,1.491646778,1.6,0.108353222,0,D,0,0.51421045,1,1,1.944729052
Tottenham Hotspur VS. Norwich City,0.6664,0.12,0.2136,0.6664,H,1.50060024,1.3,-0.20060024,0,H,1,0.510443892,1,1,1.959079176
Leicester City VS. West Ham United,0.6308,0.2172,0.152,0.6308,H,1.585288523,1.45,-0.135288523,0,H,1,0.51234179,1,1,1.951822043
Wolverhampton Wanderers VS. Liverpool,0.6272,0.6272,0.1564,0.2164,A,1.594387755,1.45,-0.144387755,0,A,1,0.550151561,1,1,1.817680927
Aston Villa VS. Watford,0.4732,0.2456,0.2812,0.4732,H,2.113271344,2.6,0.486728656,0,H,1,0.506494822,0,0,1.974353848
Bournemouth VS. Brighton & Hove Albion,0.4448,0.3132,0.242,0.4448,H,2.248201439,2.55,0.301798561,0,H,1,0.500162514,1,1,1.999350156
Crystal Palace VS. Southampton,0.3824,0.3436,0.274,0.3824,H,2.615062762,2.55,-0.065062762,0,A,0,0.509341189,1,0,1.963320504
