Home Team: Bournemouth
Away Team: Chelsea

Strength Expected Winner: Away (100%)
Expected Goals: 2.53 (Average Std: 1.1)

Bournemouth Expected Result According to Form: L (0.39, Count: 60, DLW)
Chelsea Expected Result According to Form: L (0.40, Count: 85, LLW)
Letters Expected Results: Away (40%)

-----------------------

Bournemouth Top Scorer: Andrew Surman (2)
Chelsea Top Scorer: Álvaro Morata (6)

-----------------------

Bournemouth Scoring positions: 
Midfielder => 3
Forward => 2
Defender => 1

Chelsea Scoring positions: 
Forward => 10
Defender => 4
Midfielder => 3

Bournemouth Conceded positions: 
Forward => 7
Midfielder => 4
Defender => 1

Chelsea Conceded positions: 
Midfielder => 4
Forward => 3
NA => 2
Defender => 1
