12/08/2017	Arsenal	Leicester City
12/08/2017	Brighton & Hove Albion	Manchester City
12/08/2017	Chelsea	Burnley
12/08/2017	Crystal Palace	Huddersfield Town
12/08/2017	Everton	Stoke City
12/08/2017	Manchester United	West Ham United
12/08/2017	Newcastle United	Tottenham Hotspur
12/08/2017	Southampton	Swansea City
12/08/2017	Watford	Liverpool
12/08/2017	West Bromwich Albion	Bournemouth
19/08/2017	Bournemouth	Watford
19/08/2017	Burnley	West Bromwich Albion
19/08/2017	Huddersfield Town	Newcastle United
19/08/2017	Leicester City	Brighton & Hove Albion
19/08/2017	Liverpool	Crystal Palace
19/08/2017	Manchester City	Everton
19/08/2017	Southampton	West Ham United
19/08/2017	Stoke City	Arsenal
19/08/2017	Swansea City	Manchester United
19/08/2017	Tottenham Hotspur	Chelsea
26/08/2017	Bournemouth	Manchester City
26/08/2017	Chelsea	Everton
26/08/2017	Crystal Palace	Swansea City
26/08/2017	Huddersfield Town	Southampton
26/08/2017	Liverpool	Arsenal
26/08/2017	Manchester United	Leicester City
26/08/2017	Newcastle United	West Ham United
26/08/2017	Tottenham Hotspur	Burnley
26/08/2017	Watford	Brighton & Hove Albion
26/08/2017	West Bromwich Albion	Stoke City
09/09/2017	Arsenal	Bournemouth
09/09/2017	Brighton & Hove Albion	West Bromwich Albion
09/09/2017	Burnley	Crystal Palace
09/09/2017	Everton	Tottenham Hotspur
09/09/2017	Leicester City	Chelsea
09/09/2017	Manchester City	Liverpool
09/09/2017	Southampton	Watford
09/09/2017	Stoke City	Manchester United
09/09/2017	Swansea City	Newcastle United
09/09/2017	West Ham United	Huddersfield Town
16/09/2017	Bournemouth	Brighton & Hove Albion
16/09/2017	Chelsea	Arsenal
16/09/2017	Crystal Palace	Southampton
16/09/2017	Huddersfield Town	Leicester City
16/09/2017	Liverpool	Burnley
16/09/2017	Manchester United	Everton
16/09/2017	Newcastle United	Stoke City
16/09/2017	Tottenham Hotspur	Swansea City
16/09/2017	Watford	Manchester City
16/09/2017	West Bromwich Albion	West Ham United
23/09/2017	Arsenal	West Bromwich Albion
23/09/2017	Brighton & Hove Albion	Newcastle United
23/09/2017	Burnley	Huddersfield Town
23/09/2017	Everton	Bournemouth
23/09/2017	Leicester City	Liverpool
23/09/2017	Manchester City	Crystal Palace
23/09/2017	Southampton	Manchester United
23/09/2017	Stoke City	Chelsea
23/09/2017	Swansea City	Watford
23/09/2017	West Ham United	Tottenham Hotspur
30/09/2017	Arsenal	Brighton & Hove Albion
30/09/2017	Bournemouth	Leicester City
30/09/2017	Chelsea	Manchester City
30/09/2017	Everton	Burnley
30/09/2017	Huddersfield Town	Tottenham Hotspur
30/09/2017	Manchester United	Crystal Palace
30/09/2017	Newcastle United	Liverpool
30/09/2017	Stoke City	Southampton
30/09/2017	West Bromwich Albion	Watford
30/09/2017	West Ham United	Swansea City
14/10/2017	Brighton & Hove Albion	Everton
14/10/2017	Burnley	West Ham United
14/10/2017	Crystal Palace	Chelsea
14/10/2017	Leicester City	West Bromwich Albion
14/10/2017	Liverpool	Manchester United
14/10/2017	Manchester City	Stoke City
14/10/2017	Southampton	Newcastle United
14/10/2017	Swansea City	Huddersfield Town
14/10/2017	Tottenham Hotspur	Bournemouth
14/10/2017	Watford	Arsenal
21/10/2017	Chelsea	Watford
21/10/2017	Everton	Arsenal
21/10/2017	Huddersfield Town	Manchester United
21/10/2017	Manchester City	Burnley
21/10/2017	Newcastle United	Crystal Palace
21/10/2017	Southampton	West Bromwich Albion
21/10/2017	Stoke City	Bournemouth
21/10/2017	Swansea City	Leicester City
21/10/2017	Tottenham Hotspur	Liverpool
21/10/2017	West Ham United	Brighton & Hove Albion
28/10/2017	Arsenal	Swansea City
28/10/2017	Bournemouth	Chelsea
28/10/2017	Brighton & Hove Albion	Southampton
28/10/2017	Burnley	Newcastle United
28/10/2017	Crystal Palace	West Ham United
28/10/2017	Leicester City	Everton
28/10/2017	Liverpool	Huddersfield Town
28/10/2017	Manchester United	Tottenham Hotspur
28/10/2017	Watford	Stoke City
28/10/2017	West Bromwich Albion	Manchester City
04/11/2017	Chelsea	Manchester United
04/11/2017	Everton	Watford
04/11/2017	Huddersfield Town	West Bromwich Albion
04/11/2017	Manchester City	Arsenal
04/11/2017	Newcastle United	Bournemouth
04/11/2017	Southampton	Burnley
04/11/2017	Stoke City	Leicester City
04/11/2017	Swansea City	Brighton & Hove Albion
04/11/2017	Tottenham Hotspur	Crystal Palace
04/11/2017	West Ham United	Liverpool
18/11/2017	Arsenal	Tottenham Hotspur
18/11/2017	Bournemouth	Huddersfield Town
18/11/2017	Brighton & Hove Albion	Stoke City
18/11/2017	Burnley	Swansea City
18/11/2017	Crystal Palace	Everton
18/11/2017	Leicester City	Manchester City
18/11/2017	Liverpool	Southampton
18/11/2017	Manchester United	Newcastle United
18/11/2017	Watford	West Ham United
18/11/2017	West Bromwich Albion	Chelsea
25/11/2017	Burnley	Arsenal
25/11/2017	Crystal Palace	Stoke City
25/11/2017	Huddersfield Town	Manchester City
25/11/2017	Liverpool	Chelsea
25/11/2017	Manchester United	Brighton & Hove Albion
25/11/2017	Newcastle United	Watford
25/11/2017	Southampton	Everton
25/11/2017	Swansea City	Bournemouth
25/11/2017	Tottenham Hotspur	West Bromwich Albion
25/11/2017	West Ham United	Leicester City
28/11/2017	Arsenal	Huddersfield Town
28/11/2017	Bournemouth	Burnley
28/11/2017	Brighton & Hove Albion	Crystal Palace
28/11/2017	Leicester City	Tottenham Hotspur
28/11/2017	Watford	Manchester United
28/11/2017	West Bromwich Albion	Newcastle United
29/11/2017	Chelsea	Swansea City
29/11/2017	Everton	West Ham United
29/11/2017	Manchester City	Southampton
29/11/2017	Stoke City	Liverpool
02/12/2017	Arsenal	Manchester United
02/12/2017	Bournemouth	Southampton
02/12/2017	Brighton & Hove Albion	Liverpool
02/12/2017	Chelsea	Newcastle United
02/12/2017	Everton	Huddersfield Town
02/12/2017	Leicester City	Burnley
02/12/2017	Manchester City	West Ham United
02/12/2017	Stoke City	Swansea City
