Home Team: Chelsea
Away Team: Southampton

Strength Expected Winner: Home (100%)
Expected Goals: 2.62 (Average Std: 1)

Chelsea Expected Result According to Form: W (0.35, Count: 68, WLW)
Southampton Expected Result According to Form: W (0.41, Count: 43, DDL)
Letters Expected Results: Away (41%)

-----------------------

Chelsea Top Scorer: Álvaro Morata (9)
Southampton Top Scorer: Charlie Austin (5)

-----------------------

Chelsea Scoring positions: 
Forward => 14
Midfielder => 11
Defender => 6

Southampton Scoring positions: 
Forward => 8
Midfielder => 7
Defender => 2

Chelsea Conceded positions: 
Forward => 7
Midfielder => 4
NA => 2
Defender => 1

Southampton Conceded positions: 
Forward => 11
Midfielder => 9
NA => 2
Defender => 1
