Match,Winner Odds,Winner,Winner Ratio,Real Ratio,Diff,Winner,Winner Correct,Goals Odds,IsOver,OverCorrect,Over Ratio
Chelsea VS. Everton,0.6528,H,1.531862745,1.3,-0.231862745,D,0,0.619850789,1,0,1.613291484
Liverpool VS. Fulham,0.6204,H,1.611863314,1,-0.611863314,H,1,0.661371497,1,0,1.51200952
Crystal Palace VS. Tottenham Hotspur,0.6096,A,1.640419948,1.65,0.009580052,A,1,0.538361979,1,0,1.8574863
Leicester City VS. Burnley,0.6072,H,1.646903821,1.4,-0.246903821,D,0,0.521694335,0,1,1.916831242
Manchester City VS. Manchester United,0.606,H,1.650165017,1.3,-0.350165017,H,1,0.726115485,1,1,1.377191399
Arsenal VS. Wolverhampton wanderers,0.5156,H,1.939487975,1.5,-0.439487975,D,0,0.504020026,0,1,1.984048151
Newcastle United VS. Bournemouth,0.4552,H,2.196836555,2.45,0.253163445,H,1,0.514285142,1,1,1.944446606
Huddersfield Town VS. West Ham United,0.4388,A,2.278942571,2.05,-0.228942571,D,0,0.512972487,1,0,1.949422288
Cardiff City VS. Brighton & Hove Albion,0.3788,A,2.639915523,2.65,0.010084477,H,0,0.52167427,0,0,1.916904968
Southampton VS. Watford,0.3536,D,2.828054299,2.85,0.021945701,D,1,0.523255322,1,0,1.911112907
